Source Directory,Category,Image File,True Class,Predicted Class,Confidence (%),Result
Test Leaves - Mun Suen/,Apple - Black Rot,blackrotapple_28.9.jpg,Apple___Black_rot,Apple___Cedar_apple_rust,56.95,INCORRECT
Test Leaves - Mun Suen/,Apple - Black Rot,Apple Black Rot 1.jpg,Apple___Black_rot,Tomato___Septoria_leaf_spot,82.89,INCORRECT
Test Leaves - Mun Suen/,Apple - Black Rot,Apple Black Rot 3.jpg,Apple___Black_rot,Tomato___Late_blight,13.08,INCORRECT
Test Leaves - Mun Suen/,Apple - Black Rot,Apple Black Rot 2.jpg,Apple___Black_rot,Tomato___Septoria_leaf_spot,20.09,INCORRECT
Test Leaves - Mun Suen/,Apple - Ceder Rust Leaf,AppleCedarRustLeaf 3.jpg,Apple___Cedar_apple_rust,Apple___Cedar_apple_rust,44.40,CORRECT
Test Leaves - Mun Suen/,Apple - Ceder Rust Leaf,AppleCedarRustLeaf 2.jpg,Apple___Cedar_apple_rust,Grape___Black_rot,47.82,INCORRECT
Test Leaves - Mun Suen/,Apple - Ceder Rust Leaf,AppleCedarRust Leaf 1.jpg,Apple___Cedar_apple_rust,Grape___Black_rot,95.54,INCORRECT
Test Leaves - Mun Suen/,Apple - Healthy,AppleHealthy 3.jpg,Apple___healthy,Apple___Apple_scab,13.48,INCORRECT
Test Leaves - Mun Suen/,Apple - Healthy,AppleHealthy 2.jpg,Apple___healthy,Cherry_(including_sour)___healthy,99.41,INCORRECT
Test Leaves - Mun Suen/,Apple - Healthy,AppleHealthy 1.jpg,Apple___healthy,Grape___healthy,97.55,INCORRECT
Test Leaves - Mun Suen/,Apple - Scab,AppleScab3.jpg,Apple___Apple_scab,Apple___Apple_scab,94.72,CORRECT
Test Leaves - Mun Suen/,Apple - Scab,AppleScab2.jpg,Apple___Apple_scab,Apple___healthy,66.35,INCORRECT
Test Leaves - Mun Suen/,Apple - Scab,AppleScab1.jpg,Apple___Apple_scab,Peach___Bacterial_spot,51.15,INCORRECT
Test Leaves - Mun Suen/,Apple - Scab,AppleScab5.png,Apple___Apple_scab,Apple___Apple_scab,84.05,CORRECT
Test Leaves - Mun Suen/,Apple - Scab,AppleScab4.jpg,Apple___Apple_scab,Apple___Apple_scab,48.88,CORRECT
Test Leaves - Mun Suen/,Blueberry - Healthy,BlueberryHealthy1.jpg,Blueberry___healthy,Blueberry___healthy,29.22,CORRECT
Test Leaves - Mun Suen/,Blueberry - Healthy,BlueberryHealthy3.jpg,Blueberry___healthy,Tomato___healthy,24.98,INCORRECT
Test Leaves - Mun Suen/,Blueberry - Healthy,BlueberryHealthy2.jpg,Blueberry___healthy,Grape___Esca_(Black_Measles),29.40,INCORRECT
Test Leaves - Mun Suen/,Blueberry - Healthy,BlueberryHealthy4.jpg,Blueberry___healthy,Grape___Esca_(Black_Measles),38.81,INCORRECT
Test Leaves - Mun Suen/,Cherry - Healthy,CherryHealthy2.jpg,Cherry_(including_sour)___healthy,Cherry_(including_sour)___healthy,67.53,CORRECT
Test Leaves - Mun Suen/,Cherry - Healthy,CherryHealthy1.JPG,Cherry_(including_sour)___healthy,Grape___Black_rot,49.39,INCORRECT
Test Leaves - Mun Suen/,Cherry - Powdery,CherryPowdery1.jpg,Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour)___Powdery_mildew,69.72,CORRECT
Test Leaves - Mun Suen/,Cherry - Powdery,CherryPowdery2.webp,Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour)___Powdery_mildew,70.16,CORRECT
Test Leaves - Mun Suen/,Corn - Common Rust,CornCommonRust1.jpg,Corn_(maize)___Common_rust_,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,27.48,INCORRECT
Test Leaves - Mun Suen/,Corn - Common Rust,CornCommonRust2.jpg,Corn_(maize)___Common_rust_,Corn_(maize)___Common_rust_,99.86,CORRECT
Test Leaves - Mun Suen/,Corn - Common Rust,CornCommonRust3.jpg,Corn_(maize)___Common_rust_,Corn_(maize)___Northern_Leaf_Blight,67.94,INCORRECT
Test Leaves - Mun Suen/,Corn - Gray Leaf Spot,CornGrayLeafSpot4.jpg,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,99.13,CORRECT
Test Leaves - Mun Suen/,Corn - Gray Leaf Spot,CornGrayLeafSpot1.jpg,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,85.22,CORRECT
Test Leaves - Mun Suen/,Corn - Gray Leaf Spot,CornGrayLeafSpot3.jpg,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,94.60,CORRECT
Test Leaves - Mun Suen/,Corn - Gray Leaf Spot,CornGrayLeafSpot2.jpg,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,96.57,CORRECT
Test Leaves - Mun Suen/,Corn - Healthy,CornHealthy1.png,Corn_(maize)___healthy,Cherry_(including_sour)___healthy,24.50,INCORRECT
Test Leaves - Mun Suen/,Corn - Leaf Blight,CornLeafBlight4.jpg,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Northern_Leaf_Blight,95.71,CORRECT
Test Leaves - Mun Suen/,Corn - Leaf Blight,CornLeafBlight2.jpg,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Northern_Leaf_Blight,99.55,CORRECT
Test Leaves - Mun Suen/,Corn - Leaf Blight,CornLeafBlight3.jpg,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Northern_Leaf_Blight,87.89,CORRECT
Test Leaves - Mun Suen/,Corn - Leaf Blight,CornLeafBlight1.jpg,Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Northern_Leaf_Blight,99.69,CORRECT
Test Leaves - Mun Suen/,Grape - Black Measles,GrapeBlackMeasles1.jpg,Grape___Esca_(Black_Measles),Grape___Esca_(Black_Measles),49.02,CORRECT
Test Leaves - Mun Suen/,Grape - Black Measles,GrapeBlackMeasles2.jpg,Grape___Esca_(Black_Measles),Grape___Esca_(Black_Measles),73.23,CORRECT
Test Leaves - Mun Suen/,Grape - Black Measles,GrapeBlackMeasles3.jpg,Grape___Esca_(Black_Measles),Grape___Esca_(Black_Measles),55.38,CORRECT
Test Leaves - Mun Suen/,Grape - Black Measles,GrapeBlackMeasles4.jpg,Grape___Esca_(Black_Measles),Grape___Esca_(Black_Measles),62.06,CORRECT
Test Leaves - Mun Suen/,Grape - Black Rot,GrapeBlackrot1.jpg,Grape___Black_rot,Grape___Black_rot,74.92,CORRECT
Test Leaves - Mun Suen/,Grape - Black Rot,GrapeBlackrot3.jpg,Grape___Black_rot,Grape___Black_rot,98.99,CORRECT
Test Leaves - Mun Suen/,Grape - Black Rot,GrapeBlackrot2.jpg,Grape___Black_rot,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),43.16,INCORRECT
Test Leaves - Mun Suen/,Grape - Black Rot,GrapeBlackrot4.jpg,Grape___Black_rot,Grape___Black_rot,99.72,CORRECT
Test Leaves - Mun Suen/,Grape - Healthy,GrapeHealthy2.jpg,Grape___healthy,Grape___healthy,70.71,CORRECT
Test Leaves - Mun Suen/,Grape - Healthy,GrapeHealthy3.jpg,Grape___healthy,Grape___healthy,74.58,CORRECT
Test Leaves - Mun Suen/,Grape - Healthy,GrapeHealthy1.jpg,Grape___healthy,Grape___Black_rot,52.68,INCORRECT
Test Leaves - Mun Suen/,Orange - Citrus Greening,OrangeCitrusGreening1.jpg,Orange___Haunglongbing_(Citrus_greening),Tomato___Late_blight,14.65,INCORRECT
Test Leaves - Mun Suen/,Orange - Citrus Greening,OrangeCitrusGreening2.jpg,Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening),29.23,CORRECT
Test Leaves - Mun Suen/,Peach - Bacterial Spot,PeachBacterialSpot.jpg,Peach___Bacterial_spot,Peach___Bacterial_spot,99.68,CORRECT
Test Leaves - Mun Suen/,Pepper - Bacterial Spot,PepperBacterialSpot1.jpg,"Pepper,_bell___Bacterial_spot","Pepper,_bell___Bacterial_spot",31.83,CORRECT
Test Leaves - Mun Suen/,Pepper - Bacterial Spot,PepperBacterialSpot2.jpg,"Pepper,_bell___Bacterial_spot","Pepper,_bell___Bacterial_spot",92.14,CORRECT
Test Leaves - Mun Suen/,Pepper - Bacterial Spot,PepperBacterialSpot3.jpg,"Pepper,_bell___Bacterial_spot","Pepper,_bell___Bacterial_spot",84.04,CORRECT
Test Leaves - Mun Suen/,Pepper - Healthy,PepperHealthy1.jpg,"Pepper,_bell___healthy","Pepper,_bell___healthy",58.70,CORRECT
Test Leaves - Mun Suen/,Pepper - Healthy,PepperHealthy2.jpg,"Pepper,_bell___healthy",Peach___healthy,15.81,INCORRECT
Test Leaves - Mun Suen/,Pepper - Healthy,PepperHealthy3.jpg,"Pepper,_bell___healthy",Cherry_(including_sour)___healthy,87.29,INCORRECT
Test Leaves - Mun Suen/,Potato - Early Blight,PotatoEarlyBlight4.jpg,Potato___Early_blight,Potato___Early_blight,97.04,CORRECT
Test Leaves - Mun Suen/,Potato - Early Blight,PotatoEarlyBlight2.jpg,Potato___Early_blight,Potato___Early_blight,84.16,CORRECT
Test Leaves - Mun Suen/,Potato - Early Blight,PotatoEarlyBlight3.jpg,Potato___Early_blight,Potato___Early_blight,96.50,CORRECT
Test Leaves - Mun Suen/,Potato - Early Blight,PotatoEarlyBlight1.jpg,Potato___Early_blight,"Pepper,_bell___Bacterial_spot",60.35,INCORRECT
Test Leaves - Mun Suen/,Potato - Healthy,PotatoHealthy1.jpg,Potato___healthy,Blueberry___healthy,78.58,INCORRECT
Test Leaves - Mun Suen/,Potato - Healthy,PotatoHealthy3.jpg,Potato___healthy,Potato___healthy,32.49,CORRECT
Test Leaves - Mun Suen/,Potato - Healthy,PotatoHealthy2.jpg,Potato___healthy,Potato___healthy,65.21,CORRECT
